,ts,wspd,humidity,tempe,icon
122,2016-12-12 18:00:00,2.77777777778,90.0,8.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
123,2016-12-12 19:00:00,2.77777777778,92.0,7.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
124,2016-12-12 20:00:00,2.22222222222,93.0,7.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
125,2016-12-12 21:00:00,2.77777777778,95.0,7.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
126,2016-12-12 22:00:00,2.77777777778,94.0,7.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
127,2016-12-12 23:00:00,2.77777777778,95.0,6.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
128,2016-12-13 00:00:00,2.22222222222,94.0,6.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
129,2016-12-13 01:00:00,2.77777777778,94.0,6.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
130,2016-12-13 02:00:00,2.22222222222,93.0,6.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
131,2016-12-13 03:00:00,2.22222222222,91.0,5.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
132,2016-12-13 04:00:00,1.66666666667,91.0,5.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
133,2016-12-13 05:00:00,1.66666666667,93.0,5.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
134,2016-12-13 06:00:00,1.66666666667,94.0,5.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
135,2016-12-13 07:00:00,2.22222222222,95.0,5.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
136,2016-12-13 08:00:00,2.22222222222,96.0,4.0,http://icons.wxug.com/i/c/k/partlycloudy.gif
137,2016-12-13 09:00:00,2.77777777778,95.0,6.0,http://icons.wxug.com/i/c/k/partlycloudy.gif
138,2016-12-13 10:00:00,2.77777777778,90.0,7.0,http://icons.wxug.com/i/c/k/partlycloudy.gif
139,2016-12-13 11:00:00,3.05555555556,84.0,8.0,http://icons.wxug.com/i/c/k/partlycloudy.gif
140,2016-12-13 12:00:00,3.61111111111,79.0,9.0,http://icons.wxug.com/i/c/k/partlycloudy.gif
141,2016-12-13 13:00:00,3.61111111111,76.0,9.0,http://icons.wxug.com/i/c/k/partlycloudy.gif
142,2016-12-13 14:00:00,3.61111111111,75.0,9.0,http://icons.wxug.com/i/c/k/partlycloudy.gif
143,2016-12-13 15:00:00,3.05555555556,75.0,9.0,http://icons.wxug.com/i/c/k/partlycloudy.gif
144,2016-12-13 16:00:00,3.05555555556,76.0,8.0,http://icons.wxug.com/i/c/k/nt_clear.gif
145,2016-12-13 17:00:00,2.77777777778,79.0,8.0,http://icons.wxug.com/i/c/k/nt_clear.gif
146,2016-12-13 18:00:00,2.77777777778,81.0,7.0,http://icons.wxug.com/i/c/k/nt_clear.gif
147,2016-12-13 19:00:00,2.77777777778,81.0,7.0,http://icons.wxug.com/i/c/k/nt_clear.gif
148,2016-12-13 20:00:00,2.22222222222,82.0,7.0,http://icons.wxug.com/i/c/k/nt_clear.gif
149,2016-12-13 21:00:00,2.77777777778,83.0,7.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
150,2016-12-13 22:00:00,2.22222222222,84.0,7.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
151,2016-12-13 23:00:00,2.77777777778,86.0,6.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
152,2016-12-14 00:00:00,2.22222222222,89.0,6.0,http://icons.wxug.com/i/c/k/nt_chancerain.gif
